제목,장소명,주소,위도,경도,source_url,데이터출처,위치정보출처
#좋맛탱: 좋은 맛에 취하다,율곡로3길,서울특별시 종로구 율곡로3길,37.577811,126.98239,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,미리내 성지,경기도 안성시 양성면 미리내성지로 420,37.146102,127.25865,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,초은당,경기도 양평군 서종면 북한강로814번길 46-6,37.611484,127.35397,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,임진각평화누리,경기도 파주시 문산읍 마정리 1355,37.892963,126.74435,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,지혜의 숲,경기도 파주시 회동길 145,37.7082492,126.686674,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,구룡근린공원,서울특별시 마포구 월드컵북로 456,37.582996,126.88385,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,월드컵공원,서울특별시 마포구 하늘공원로 86,37.5708905,126.878429,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,소월로 계단 3번,서울특별시 용산구 소월로 168,37.547514,126.98424,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,대학로11길,서울특별시 종로구 대학로11길 13,37.582193,127.00092,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,푸른기린주차장,서울특별시 종로구 화동 58-1,37.581775,126.981418,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,덕수궁 돌담길,서울특별시 중구 세종대로 99,37.565924,126.97501,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,고흥우주발사전망대,전라남도 고흥군 영남면 해맞이로 840,34.585051,127.49236,,KCISA,KCISA
(아는 건 별로 없지만) 가족입니다,파도리해수욕장,충청남도 태안군 소원면 파도길 63-12,36.738979,126.13356,,KCISA,KCISA
1%의 어떤것,사천진해수욕장,강원도 강릉시 사천면 사천진리 266-2,37.842094,128.874568,,KCISA,KCISA
1%의 어떤것,라꼼마빌딩,서울특별시 마포구 어울마당로 44-1,37.548951,126.92088,,KCISA,KCISA
18 어게인,서울대공원,경기도 과천시 대공원광장로 102,37.427542,127.01701,,KCISA,KCISA
18 어게인,화이트블럭,경기도 파주시 탄현면 헤이리마을길 72,37.7889189,126.699592,,KCISA,KCISA
18 어게인,퍼스트가든,경기도 파주시 탑삭골길 260,37.7321551,126.793933,,KCISA,KCISA
18 어게인,누리꿈스퀘어빌딩,서울특별시 마포구 연남동 396,37.579272,126.89028,,KCISA,KCISA
18 어게인,클럽메카,서울특별시 용산구 녹사평대로 140 크라운호텔 지하1층,37.531482,126.99078,,KCISA,KCISA
18 어게인,더리버,서울특별시 용산구 용산동6가 451,37.507108,126.98472,,KCISA,KCISA
18 어게인,창신동 채석장 전망대,서울특별시 종로구 낙산5길 51,37.578223,127.01164,,KCISA,KCISA
18 어게인,낙산공원,서울특별시 종로구 낙산길 41,37.580667,127.00746,,KCISA,KCISA
18 어게인,청계천,서울특별시 종로구 서린동 148,37.569205,126.97791,,KCISA,KCISA
20세기 소년소녀,인천국제공항,인천광역시 중구 공항로 272,37.44919,126.4514,,KCISA,KCISA
24시 헬스클럽,여의도한강공원,서울 영등포구 여의도동 85,37.5263886,126.9351293,https://ys-dl.tistory.com/entry/24%EC%8B%9C%ED%97%AC%EC%8A%A4%ED%81%B4%EB%9F%BD-%EC%B4%AC%EC%98%81%EC%A7%80-3%EA%B3%B3%EC%9D%84-%EC%95%8C%EB%A0%A4%EB%93%9C%EB%A6%BD%EB%8B%88%EB%8B%A4%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%A4%91,YSDL,KAKAO
24시 헬스클럽,오동근린공원,서울 성북구 화랑로13가길 100,37.60997441,127.0419681,https://ys-dl.tistory.com/entry/24%EC%8B%9C%ED%97%AC%EC%8A%A4%ED%81%B4%EB%9F%BD-%EC%B4%AC%EC%98%81%EC%A7%80-3%EA%B3%B3%EC%9D%84-%EC%95%8C%EB%A0%A4%EB%93%9C%EB%A6%BD%EB%8B%88%EB%8B%A4%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%A4%91,YSDL,KAKAO
24시 헬스클럽,삼성해맞이공원,서울 강남구 삼성동 82,37.5196741,127.0619385,https://ys-dl.tistory.com/entry/24%EC%8B%9C%ED%97%AC%EC%8A%A4%ED%81%B4%EB%9F%BD-%EC%B4%AC%EC%98%81%EC%A7%80-3%EA%B3%B3%EC%9D%84-%EC%95%8C%EB%A0%A4%EB%93%9C%EB%A6%BD%EB%8B%88%EB%8B%A4%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%A4%91,YSDL,KAKAO
24시 헬스클럽,소리공원,서울 송파구 문정동 399-1,37.4816297,127.1197778,https://ys-dl.tistory.com/entry/24%EC%8B%9C%ED%97%AC%EC%8A%A4%ED%81%B4%EB%9F%BD-%EC%B4%AC%EC%98%81%EC%A7%80-3%EA%B3%B3%EC%9D%84-%EC%95%8C%EB%A0%A4%EB%93%9C%EB%A6%BD%EB%8B%88%EB%8B%A4%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%A4%91,YSDL,KAKAO
24시 헬스클럽,강화광성보,인천 강화군 불은면 해안동로466번길 27,37.66514005,126.5298093,https://ys-dl.tistory.com/entry/24%EC%8B%9C%ED%97%AC%EC%8A%A4%ED%81%B4%EB%9F%BD-%EC%B4%AC%EC%98%81%EC%A7%80-3%EA%B3%B3%EC%9D%84-%EC%95%8C%EB%A0%A4%EB%93%9C%EB%A6%BD%EB%8B%88%EB%8B%A4%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%A4%91,YSDL,KAKAO
24시 헬스클럽,송현근린공원 향적사,인천 제물포구 송현공원로 71-10,37.47902311,126.6412857,https://ys-dl.tistory.com/entry/24%EC%8B%9C%ED%97%AC%EC%8A%A4%ED%81%B4%EB%9F%BD-%EC%B4%AC%EC%98%81%EC%A7%80-3%EA%B3%B3%EC%9D%84-%EC%95%8C%EB%A0%A4%EB%93%9C%EB%A6%BD%EB%8B%88%EB%8B%A4%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%A4%91,YSDL,KAKAO
24시 헬스클럽,남동소래아트홀,인천 남동구 아암대로1437번길 32,37.38750104,126.7247454,https://ys-dl.tistory.com/entry/24%EC%8B%9C%ED%97%AC%EC%8A%A4%ED%81%B4%EB%9F%BD-%EC%B4%AC%EC%98%81%EC%A7%80-3%EA%B3%B3%EC%9D%84-%EC%95%8C%EB%A0%A4%EB%93%9C%EB%A6%BD%EB%8B%88%EB%8B%A4%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%A4%91,YSDL,KAKAO
